id,race_id,state_abbrev,state,office_id,office_name,office_seat_name,cycle,stage,special,party,politician_id,candidate_id,candidate_name,ballot_party,ranked_choice_round,votes,percent,unopposed,winner,alt_result_text,source
37958,9526,OH,Ohio,425,U.S. Senate,Class I,2024,general,False,,23112.0,37644.0,Tariq K. Shabazz,W,,524.0,0.0091855373364045,,False,,https://www.ohiosos.gov/elections/election-results-and-data/2024-official-election-results/
37957,9526,OH,Ohio,425,U.S. Senate,Class I,2024,general,False,,23111.0,37643.0,Nathan Russell,W,,19.0,0.0003330633767016,,False,,https://www.ohiosos.gov/elections/election-results-and-data/2024-official-election-results/
37956,9526,OH,Ohio,425,U.S. Senate,Class I,2024,general,False,,17015.0,37642.0,David Allen Pastorius,W,,13.0,0.0002278854682695,,False,,https://www.ohiosos.gov/elections/election-results-and-data/2024-official-election-results/
37955,9526,OH,Ohio,425,U.S. Senate,Class I,2024,general,False,,9603.0,37641.0,Stephen Faris,W,,84.0,0.0014724907180495,,False,,https://www.ohiosos.gov/elections/election-results-and-data/2024-official-election-results/
37856,9526,OH,Ohio,425,U.S. Senate,Class I,2024,general,False,,19025.0,31036.0,Bernie Moreno,REP,,2857383.0,50.08892792157936,,True,,https://www.ohiosos.gov/elections/election-results-and-data/2024-official-election-results/
37855,9526,OH,Ohio,425,U.S. Senate,Class I,2024,general,False,,13169.0,37509.0,Donald C. Kissick,LIB,,195648.0,3.4296412381543377,,False,,https://www.ohiosos.gov/elections/election-results-and-data/2024-official-election-results/
37854,9526,OH,Ohio,425,U.S. Senate,Class I,2024,general,False,,1025.0,31033.0,Sherrod Brown,DEM,,2650949.0,46.470211863366885,,False,,https://www.ohiosos.gov/elections/election-results-and-data/2024-official-election-results/
38130,9521,NV,Nevada,372,U.S. Senate,Class I,2024,general,False,,20800.0,33569.0,Chris Cunningham,LIB,,20881.0,1.425588914801929,,False,,https://silverstateelection.nv.gov/
38129,9521,NV,Nevada,372,U.S. Senate,Class I,2024,general,False,,4314.0,37099.0,Janine Hansen,IAP,,21316.0,1.455287261525689,,False,,https://silverstateelection.nv.gov/
38128,9521,NV,Nevada,372,U.S. Senate,Class I,2024,general,False,,,,,,,44380.0,3.0299140864378917,,,None of these candidates,https://silverstateelection.nv.gov/
38127,9521,NV,Nevada,372,U.S. Senate,Class I,2024,general,False,,18353.0,31105.0,Sam Brown,REP,,677046.0,46.22332610559776,,False,,https://silverstateelection.nv.gov/
38126,9521,NV,Nevada,372,U.S. Senate,Class I,2024,general,False,,8322.0,31010.0,Jacky S. Rosen,DEM,,701105.0,47.86588363163673,,True,,https://silverstateelection.nv.gov/
