poll_id,question_id,race_id,cycle,location,type_simple,race,pollster,pollster_rating_id,aapor_roper,inactive,methodology,transparency_score,partisan,polldate,electiondate,time_to_election,samplesize,cand1_name,cand1_id,cand1_party,cand1_pct,cand1_actual,cand2_name,cand2_id,cand2_party,cand2_pct,cand2_actual,margin_poll,margin_actual
32945,39543,1,2014,NE,Sen-G,2014_Sen-G_NE,YouGov,391,FALSE,FALSE,Online Panel,8,NA,2014-09-26,2014-11-04,39,721,Dave Domina,6263,DEM,31,31.485350808847073,Ben Sasse,6269,REP,58,64.3368860544438,-27,-32.85153524559672
33777,40963,1,2014,NE,Sen-G,2014_Sen-G_NE,YouGov,391,FALSE,FALSE,Online Panel,8,NA,2014-10-20,2014-11-04,15,681,Dave Domina,6263,DEM,30,31.485350808847073,Ben Sasse,6269,REP,59,64.3368860544438,-29,-32.85153524559672
33068,126637,2,2014,MI,Sen-G,2014_Sen-G_MI,Public Policy Polling,263,FALSE,FALSE,IVR/Online Panel,5,NA,2014-09-06,2014-11-04,59,687,Gary C. Peters,6053,DEM,43,54.61438395064853,Terri Lynn Land,6052,REP,36,41.32907250403697,7,13.285311446611558
33061,39666,2,2014,MI,Sen-G,2014_Sen-G_MI,Suffolk University,323,TRUE,FALSE,Live Phone,8,NA,2014-09-08,2014-11-04,57,500,Gary C. Peters,6053,DEM,45.6,54.61438395064853,Terri Lynn Land,6052,REP,36.8,41.32907250403697,8.800000000000004,13.285311446611558
33037,39642,2,2014,MI,Sen-G,2014_Sen-G_MI,Denno Research,582,FALSE,FALSE,Live Phone,6,NA,2014-09-12,2014-11-04,53,600,Gary C. Peters,6053,DEM,44.7,54.61438395064853,Terri Lynn Land,6052,REP,37.7,41.32907250403697,7,13.285311446611558
33031,39636,2,2014,MI,Sen-G,2014_Sen-G_MI,Mitchell Research & Communications,213,FALSE,FALSE,IVR,4,NA,2014-09-14,2014-11-04,51,829,Gary C. Peters,6053,DEM,43,54.61438395064853,Terri Lynn Land,6052,REP,41,41.32907250403697,2,13.285311446611558
33027,39632,2,2014,MI,Sen-G,2014_Sen-G_MI,Magellan Strategies,179,FALSE,FALSE,IVR,4,NA,2014-09-14,2014-11-04,51,717,Gary C. Peters,6053,DEM,45,54.61438395064853,Terri Lynn Land,6052,REP,40,41.32907250403697,5,13.285311446611558
33010,39613,2,2014,MI,Sen-G,2014_Sen-G_MI,Rasmussen Reports,277,FALSE,FALSE,IVR/Online Panel,3,NA,2014-09-17,2014-11-04,48,750,Gary C. Peters,6053,DEM,41,54.61438395064853,Terri Lynn Land,6052,REP,39,41.32907250403697,2,13.285311446611558
33007,39610,2,2014,MI,Sen-G,2014_Sen-G_MI,Public Policy Polling,263,FALSE,FALSE,IVR,4,DEM,2014-09-18,2014-11-04,47,852,Gary C. Peters,6053,DEM,47,54.61438395064853,Terri Lynn Land,6052,REP,40,41.32907250403697,7,13.285311446611558
33008,39611,2,2014,MI,Sen-G,2014_Sen-G_MI,We Ask America,376,FALSE,TRUE,IVR,4,NA,2014-09-18,2014-11-04,47,1182,Gary C. Peters,6053,DEM,42,54.61438395064853,Terri Lynn Land,6052,REP,39,41.32907250403697,3,13.285311446611558
32985,39586,2,2014,MI,Sen-G,2014_Sen-G_MI,Target Insyght,330,FALSE,FALSE,IVR,4,NA,2014-09-24,2014-11-04,41,600,Gary C. Peters,6053,DEM,48,54.61438395064853,Terri Lynn Land,6052,REP,38,41.32907250403697,10,13.285311446611558
34497,126703,2,2014,MI,Sen-G,2014_Sen-G_MI,ccAdvertising,396,FALSE,TRUE,NA,5,NA,2014-09-27,2014-11-04,38,679,Gary C. Peters,6053,DEM,33,54.61438395064853,Terri Lynn Land,6052,REP,34,41.32907250403697,-1,13.285311446611558
32972,39571,2,2014,MI,Sen-G,2014_Sen-G_MI,Mitchell Research & Communications,213,FALSE,FALSE,IVR,5,NA,2014-09-29,2014-11-04,36,1178,Gary C. Peters,6053,DEM,49,54.61438395064853,Terri Lynn Land,6052,REP,36,41.32907250403697,13,13.285311446611558
34143,42212,2,2014,MI,Sen-G,2014_Sen-G_MI,EPIC-MRA,84,FALSE,FALSE,Live Phone,4,NA,2014-09-27,2014-11-04,38,600,Gary C. Peters,6053,DEM,42,54.61438395064853,Terri Lynn Land,6052,REP,33,41.32907250403697,9,13.285311446611558
32969,39568,2,2014,MI,Sen-G,2014_Sen-G_MI,Lake Research Partners,165,FALSE,FALSE,Live Phone,3,DEM,2014-09-28,2014-11-04,37,600,Gary C. Peters,6053,DEM,45,54.61438395064853,Terri Lynn Land,6052,REP,36,41.32907250403697,9,13.285311446611558
33690,40873,2,2014,MI,Sen-G,2014_Sen-G_MI,Marketing Resource Group (MRG),193,FALSE,FALSE,Live Phone,5,NA,2014-09-30,2014-11-04,35,600,Gary C. Peters,6053,DEM,47.4,54.61438395064853,Terri Lynn Land,6052,REP,36.4,41.32907250403697,11,13.285311446611558
32950,39548,2,2014,MI,Sen-G,2014_Sen-G_MI,YouGov,391,FALSE,FALSE,Online Panel,8,NA,2014-09-26,2014-11-04,39,2560,Gary C. Peters,6053,DEM,46,54.61438395064853,Terri Lynn Land,6052,REP,41,41.32907250403697,5,13.285311446611558
33687,40870,2,2014,MI,Sen-G,2014_Sen-G_MI,Public Policy Polling,263,FALSE,FALSE,IVR,5,DEM,2014-10-02,2014-11-04,33,654,Gary C. Peters,6053,DEM,49,54.61438395064853,Terri Lynn Land,6052,REP,42,41.32907250403697,7,13.285311446611558
33694,40877,2,2014,MI,Sen-G,2014_Sen-G_MI,Glengariff Group,117,FALSE,FALSE,Live Phone,2,NA,2014-10-03,2014-11-04,32,600,Gary C. Peters,6053,DEM,44,54.61438395064853,Terri Lynn Land,6052,REP,35,41.32907250403697,9,13.285311446611558
33729,40913,2,2014,MI,Sen-G,2014_Sen-G_MI,Clout Research,55,FALSE,FALSE,IVR,3,NA,2014-10-06,2014-11-04,29,615,Gary C. Peters,6053,DEM,46.9,54.61438395064853,Terri Lynn Land,6052,REP,44.3,41.32907250403697,2.6000000000000014,13.285311446611558
33714,40898,2,2014,MI,Sen-G,2014_Sen-G_MI,Mitchell Research & Communications,213,FALSE,FALSE,IVR,5,NA,2014-10-09,2014-11-04,26,1306,Gary C. Peters,6053,DEM,48,54.61438395064853,Terri Lynn Land,6052,REP,43,41.32907250403697,5,13.285311446611558
34460,42213,2,2014,MI,Sen-G,2014_Sen-G_MI,Mitchell Research & Communications,213,FALSE,FALSE,IVR,4,NA,2014-10-12,2014-11-04,23,1340,Gary C. Peters,6053,DEM,50,54.61438395064853,Terri Lynn Land,6052,REP,39,41.32907250403697,11,13.285311446611558
34394,42163,2,2014,MI,Sen-G,2014_Sen-G_MI,Clarity Campaign Labs,52,FALSE,FALSE,IVR/Live Phone,4,DEM,2014-10-13,2014-11-04,22,957,Gary C. Peters,6053,DEM,49,54.61438395064853,Terri Lynn Land,6052,REP,36,41.32907250403697,13,13.285311446611558
33812,41000,2,2014,MI,Sen-G,2014_Sen-G_MI,Mitchell Research & Communications,213,FALSE,FALSE,IVR,4,NA,2014-10-19,2014-11-04,16,919,Gary C. Peters,6053,DEM,51.1,54.61438395064853,Terri Lynn Land,6052,REP,37.5,41.32907250403697,13.600000000000001,13.285311446611558
33792,40978,2,2014,MI,Sen-G,2014_Sen-G_MI,EPIC-MRA,84,FALSE,FALSE,Live Phone,3,NA,2014-10-18,2014-11-04,17,600,Gary C. Peters,6053,DEM,45,54.61438395064853,Terri Lynn Land,6052,REP,34,41.32907250403697,11,13.285311446611558
33832,41021,2,2014,MI,Sen-G,2014_Sen-G_MI,Clarity Campaign Labs,52,FALSE,FALSE,IVR/Live Phone,4,DEM,2014-10-19,2014-11-04,16,1032,Gary C. Peters,6053,DEM,48,54.61438395064853,Terri Lynn Land,6052,REP,33,41.32907250403697,15,13.285311446611558
33819,41008,2,2014,MI,Sen-G,2014_Sen-G_MI,Public Policy Polling,263,FALSE,FALSE,IVR,4,DEM,2014-10-20,2014-11-04,15,723,Gary C. Peters,6053,DEM,53,54.61438395064853,Terri Lynn Land,6052,REP,39,41.32907250403697,14,13.285311446611558
33830,41019,2,2014,MI,Sen-G,2014_Sen-G_MI,Rasmussen Reports,277,FALSE,FALSE,IVR/Online Panel,5,NA,2014-10-21,2014-11-04,14,1000,Gary C. Peters,6053,DEM,51,54.61438395064853,Terri Lynn Land,6052,REP,42,41.32907250403697,9,13.285311446611558
33786,40972,2,2014,MI,Sen-G,2014_Sen-G_MI,YouGov,391,FALSE,FALSE,Online Panel,9,NA,2014-10-20,2014-11-04,15,2394,Gary C. Peters,6053,DEM,49,54.61438395064853,Terri Lynn Land,6052,REP,41,41.32907250403697,8,13.285311446611558
33989,42156,2,2014,MI,Sen-G,2014_Sen-G_MI,Glengariff Group,117,FALSE,FALSE,Live Phone,2,NA,2014-10-23,2014-11-04,12,600,Gary C. Peters,6053,DEM,47.7,54.61438395064853,Terri Lynn Land,6052,REP,32.6,41.32907250403697,15.100000000000001,13.285311446611558
34372,42185,2,2014,MI,Sen-G,2014_Sen-G_MI,Mitchell Research & Communications,213,FALSE,FALSE,IVR,4,NA,2014-10-27,2014-11-04,8,1159,Gary C. Peters,6053,DEM,52.2,54.61438395064853,Terri Lynn Land,6052,REP,38.1,41.32907250403697,14.100000000000001,13.285311446611558
34354,42174,2,2014,MI,Sen-G,2014_Sen-G_MI,EPIC-MRA,84,FALSE,FALSE,Live Phone,3,NA,2014-10-27,2014-11-04,8,600,Gary C. Peters,6053,DEM,50,54.61438395064853,Terri Lynn Land,6052,REP,35,41.32907250403697,15,13.285311446611558
34317,42160,2,2014,MI,Sen-G,2014_Sen-G_MI,Mitchell Research & Communications,213,FALSE,FALSE,IVR,4,NA,2014-11-02,2014-11-04,2,1224,Gary C. Peters,6053,DEM,52,54.61438395064853,Terri Lynn Land,6052,REP,40,41.32907250403697,12,13.285311446611558
34328,125177,2,2014,MI,Sen-G,2014_Sen-G_MI,Public Policy Polling,263,FALSE,FALSE,IVR/Online Panel,4,NA,2014-11-01,2014-11-04,3,914,Gary C. Peters,6053,DEM,51,54.61438395064853,Terri Lynn Land,6052,REP,38,41.32907250403697,13,13.285311446611558
33046,39651,3,2014,NM,Sen-G,2014_Sen-G_NM,Research & Polling Inc.,280,FALSE,FALSE,Live Phone,5,NA,2014-09-10,2014-11-04,55,603,Tom Udall,6286,DEM,51,55.558810178737005,Allen E. Weh,6287,REP,38,44.441189821262995,13,11.11762035747401
32994,39597,3,2014,NM,Sen-G,2014_Sen-G_NM,Rasmussen Reports,277,FALSE,FALSE,IVR/Online Panel,6,NA,2014-09-22,2014-11-04,43,830,Tom Udall,6286,DEM,52,55.558810178737005,Allen E. Weh,6287,REP,39,44.441189821262995,13,11.11762035747401
33730,40914,3,2014,NM,Sen-G,2014_Sen-G_NM,Gravis Marketing,124,FALSE,FALSE,IVR,3,NA,2014-09-29,2014-11-04,36,727,Tom Udall,6286,DEM,53,55.558810178737005,Allen E. Weh,6287,REP,36,44.441189821262995,17,11.11762035747401
32942,39540,3,2014,NM,Sen-G,2014_Sen-G_NM,YouGov,391,FALSE,FALSE,Online Panel,8,NA,2014-09-26,2014-11-04,39,1093,Tom Udall,6286,DEM,53,55.558810178737005,Allen E. Weh,6287,REP,35,44.441189821262995,18,11.11762035747401
34436,42169,3,2014,NM,Sen-G,2014_Sen-G_NM,Vox Populi Polling,372,FALSE,TRUE,IVR/Online Panel,5,NA,2014-10-21,2014-11-04,14,614,Tom Udall,6286,DEM,51,55.558810178737005,Allen E. Weh,6287,REP,45,44.441189821262995,6,11.11762035747401
34098,42108,3,2014,NM,Sen-G,2014_Sen-G_NM,Research & Polling Inc.,280,FALSE,FALSE,Live Phone,4,NA,2014-10-22,2014-11-04,13,614,Tom Udall,6286,DEM,50,55.558810178737005,Allen E. Weh,6287,REP,43,44.441189821262995,7,11.11762035747401
33761,40947,3,2014,NM,Sen-G,2014_Sen-G_NM,YouGov,391,FALSE,FALSE,Online Panel,8,NA,2014-10-20,2014-11-04,15,962,Tom Udall,6286,DEM,52,55.558810178737005,Allen E. Weh,6287,REP,36,44.441189821262995,16,11.11762035747401
33040,39645,4,2014,IL,Sen-G,2014_Sen-G_IL,APC Research,4,FALSE,TRUE,Live Phone,5,NA,2014-09-07,2014-11-04,58,800,Richard J. Durbin,6112,DEM,55,53.54868393922718,James D. Oberweis,6116,REP,32,42.69498787157776,23,10.853696067649423
32983,39584,4,2014,IL,Sen-G,2014_Sen-G_IL,Rasmussen Reports,277,FALSE,FALSE,IVR/Online Panel,5,NA,2014-09-24,2014-11-04,41,750,Richard J. Durbin,6112,DEM,51,53.54868393922718,James D. Oberweis,6116,REP,37,42.69498787157776,14,10.853696067649423
32955,39554,4,2014,IL,Sen-G,2014_Sen-G_IL,YouGov,391,FALSE,FALSE,Online Panel,9,NA,2014-09-26,2014-11-04,39,3955,Richard J. Durbin,6112,DEM,51,53.54868393922718,James D. Oberweis,6116,REP,39,42.69498787157776,12,10.853696067649423
34459,42224,4,2014,IL,Sen-G,2014_Sen-G_IL,We Ask America,376,FALSE,TRUE,IVR,3,NA,2014-10-06,2014-11-04,29,1086,Richard J. Durbin,6112,DEM,51.24,53.54868393922718,James D. Oberweis,6116,REP,38.26,42.69498787157776,12.980000000000004,10.853696067649423
33769,40955,4,2014,IL,Sen-G,2014_Sen-G_IL,University of Illinois Springfield Survey Research Office,498,TRUE,FALSE,Online Panel,6,NA,2014-10-05,2014-11-04,30,723,Richard J. Durbin,6112,DEM,50.4,53.54868393922718,James D. Oberweis,6116,REP,34.9,42.69498787157776,15.5,10.853696067649423
33745,40929,4,2014,IL,Sen-G,2014_Sen-G_IL,Southern Illinois University Paul Simon Public Policy Institute,430,TRUE,FALSE,Live Phone,6,NA,2014-10-04,2014-11-04,31,691,Richard J. Durbin,6112,DEM,46.9,53.54868393922718,James D. Oberweis,6116,REP,36.5,42.69498787157776,10.399999999999999,10.853696067649423
33756,40942,4,2014,IL,Sen-G,2014_Sen-G_IL,APC Research,4,FALSE,TRUE,Live Phone,4,NA,2014-10-18,2014-11-04,17,800,Richard J. Durbin,6112,DEM,50,53.54868393922718,James D. Oberweis,6116,REP,36,42.69498787157776,14,10.853696067649423
