"poll_id","pollster_id","pollster","sponsor_ids","sponsors","display_name","pollster_rating_id","pollster_rating_name","numeric_grade","pollscore","methodology","transparency_score","state","start_date","end_date","sponsor_candidate_id","sponsor_candidate","sponsor_candidate_party","question_id","sample_size","population","subpopulation","population_full","tracking","created_at","notes","url","url_article","url_topline","url_crosstab","source","internal","partisan","cycle","office_type","seat_name","seat_number","election_date","stage","party","pct","answer","candidate_name","candidate_id","race_id","nationwide_match","ranked_choice_reallocated","hypothetical"
"5bae064d-a70d-4148-918e-8305a326a330","6aeee3f3-adf4-43b8-84db-77514a3f5b64","JMC Enterprises","","","JMC Enterprises",156,"JMC Analytics",,,"",,"SC","6/13/26","6/15/26",,,,"81053227-ddec-42da-824d-e2aad5e2027b",500,"lv","r","lv-r",,"6/16/26 16:37",,"https://winwithjmc.com/archives/10505",,,,,,,2026,"Governor",,,2026-06-23,"primary runoff","NONE",9,"Don't know","Don't know","d8390906-54c4-4050-9005-4934a65fa7b1","da859547-3312-40cc-8f6c-ae8f2cd8bb20",,,
"5bae064d-a70d-4148-918e-8305a326a330","6aeee3f3-adf4-43b8-84db-77514a3f5b64","JMC Enterprises","","","JMC Enterprises",156,"JMC Analytics",,,"",,"SC","6/13/26","6/15/26",,,,"81053227-ddec-42da-824d-e2aad5e2027b",500,"lv","r","lv-r",,"6/16/26 16:37",,"https://winwithjmc.com/archives/10505",,,,,,,2026,"Governor",,,2026-06-23,"primary runoff","REP",28,"Evette","Pamela Evette","b45c1be1-ea02-409f-b7d5-31e2698a5daf","da859547-3312-40cc-8f6c-ae8f2cd8bb20",,,
"5bae064d-a70d-4148-918e-8305a326a330","6aeee3f3-adf4-43b8-84db-77514a3f5b64","JMC Enterprises","","","JMC Enterprises",156,"JMC Analytics",,,"",,"SC","6/13/26","6/15/26",,,,"81053227-ddec-42da-824d-e2aad5e2027b",500,"lv","r","lv-r",,"6/16/26 16:37",,"https://winwithjmc.com/archives/10505",,,,,,,2026,"Governor",,,2026-06-23,"primary runoff","REP",63,"Wilson (Alan)","Alan Wilson","782504f7-e71c-4087-9b83-60b87a7b1749","da859547-3312-40cc-8f6c-ae8f2cd8bb20",,,
"65ba6cdf-2251-4329-92db-d3957baf9616","f792b6ab-1126-43c4-8e7f-bd3ca54a2b3b","Mitchell Research & Communications","28040a2e-abab-4828-ab18-aa16968c658f","Michigan Information & Research Service Inc.","Mitchell Research & Communications",213,"Mitchell Research & Communications",,,"Text-to-Web",,"MI","6/11/26","6/13/26",,,,"fe6463ef-17cb-4144-99f1-a39afbeb8b9b",404,"lv","r","lv-r",,"6/16/26 11:38",,"https://www.freep.com/story/news/politics/2026/06/16/john-james-mike-cox-michigan-gop-primary-governor/90569723007/",,,,,,,2026,"Governor",,,2026-08-04,"primary","NONE",18,"Don't know","Don't know","d8390906-54c4-4050-9005-4934a65fa7b1","8cfdec96-5977-4369-8194-0ae9f4ad7f7d",,,
"65ba6cdf-2251-4329-92db-d3957baf9616","f792b6ab-1126-43c4-8e7f-bd3ca54a2b3b","Mitchell Research & Communications","28040a2e-abab-4828-ab18-aa16968c658f","Michigan Information & Research Service Inc.","Mitchell Research & Communications",213,"Mitchell Research & Communications",,,"Text-to-Web",,"MI","6/11/26","6/13/26",,,,"fe6463ef-17cb-4144-99f1-a39afbeb8b9b",404,"lv","r","lv-r",,"6/16/26 11:38",,"https://www.freep.com/story/news/politics/2026/06/16/john-james-mike-cox-michigan-gop-primary-governor/90569723007/",,,,,,,2026,"Governor",,,2026-08-04,"primary","REP",4,"Nesbitt","Aric Nesbitt","068fcb44-55c8-452d-9d7f-ae2d20a1a703","8cfdec96-5977-4369-8194-0ae9f4ad7f7d",,,
"65ba6cdf-2251-4329-92db-d3957baf9616","f792b6ab-1126-43c4-8e7f-bd3ca54a2b3b","Mitchell Research & Communications","28040a2e-abab-4828-ab18-aa16968c658f","Michigan Information & Research Service Inc.","Mitchell Research & Communications",213,"Mitchell Research & Communications",,,"Text-to-Web",,"MI","6/11/26","6/13/26",,,,"fe6463ef-17cb-4144-99f1-a39afbeb8b9b",404,"lv","r","lv-r",,"6/16/26 11:38",,"https://www.freep.com/story/news/politics/2026/06/16/john-james-mike-cox-michigan-gop-primary-governor/90569723007/",,,,,,,2026,"Governor",,,2026-08-04,"primary","REP",23,"Johnson","Perry Johnson","89c916c2-fc5a-4f66-bde7-3dd7c8706075","8cfdec96-5977-4369-8194-0ae9f4ad7f7d",,,
"65ba6cdf-2251-4329-92db-d3957baf9616","f792b6ab-1126-43c4-8e7f-bd3ca54a2b3b","Mitchell Research & Communications","28040a2e-abab-4828-ab18-aa16968c658f","Michigan Information & Research Service Inc.","Mitchell Research & Communications",213,"Mitchell Research & Communications",,,"Text-to-Web",,"MI","6/11/26","6/13/26",,,,"fe6463ef-17cb-4144-99f1-a39afbeb8b9b",404,"lv","r","lv-r",,"6/16/26 11:38",,"https://www.freep.com/story/news/politics/2026/06/16/john-james-mike-cox-michigan-gop-primary-governor/90569723007/",,,,,,,2026,"Governor",,,2026-08-04,"primary","REP",27,"Cox (Mike)","Mike Cox","bac37789-20e6-4cd2-a885-568cbd1252a8","8cfdec96-5977-4369-8194-0ae9f4ad7f7d",,,
"65ba6cdf-2251-4329-92db-d3957baf9616","f792b6ab-1126-43c4-8e7f-bd3ca54a2b3b","Mitchell Research & Communications","28040a2e-abab-4828-ab18-aa16968c658f","Michigan Information & Research Service Inc.","Mitchell Research & Communications",213,"Mitchell Research & Communications",,,"Text-to-Web",,"MI","6/11/26","6/13/26",,,,"fe6463ef-17cb-4144-99f1-a39afbeb8b9b",404,"lv","r","lv-r",,"6/16/26 11:38",,"https://www.freep.com/story/news/politics/2026/06/16/john-james-mike-cox-michigan-gop-primary-governor/90569723007/",,,,,,,2026,"Governor",,,2026-08-04,"primary","REP",28,"James","John James","1886cf41-0805-4029-a56a-dc79e6772aaf","8cfdec96-5977-4369-8194-0ae9f4ad7f7d",,,
"da298393-eb28-4a10-8a4a-22b92d664148","80e16730-f260-4aa8-8de7-4da102a5ba54","Strategic National","","","Strategic National",318,"Strategic National",,,"",,"MI","6/10/26","6/14/26",,"Perry Johnson","REP","b783eea7-fa24-4ca0-8260-65dda0d4f228",500,"lv","r","lv-r",,"6/16/26 11:38",,"https://x.com/strategic/status/2066629026693669008",,,,,,"REP",2026,"Governor",,,2026-08-04,"primary","NONE",31.4,"Don't know","Don't know","d8390906-54c4-4050-9005-4934a65fa7b1","8cfdec96-5977-4369-8194-0ae9f4ad7f7d",,,
"da298393-eb28-4a10-8a4a-22b92d664148","80e16730-f260-4aa8-8de7-4da102a5ba54","Strategic National","","","Strategic National",318,"Strategic National",,,"",,"MI","6/10/26","6/14/26",,"Perry Johnson","REP","b783eea7-fa24-4ca0-8260-65dda0d4f228",500,"lv","r","lv-r",,"6/16/26 11:38",,"https://x.com/strategic/status/2066629026693669008",,,,,,"REP",2026,"Governor",,,2026-08-04,"primary","REP",5.9,"Nesbitt","Aric Nesbitt","068fcb44-55c8-452d-9d7f-ae2d20a1a703","8cfdec96-5977-4369-8194-0ae9f4ad7f7d",,,
